Date,LP_Value,FD_Value
2017-08-10,1045741.399793902,1036295.2292099961
2017-08-11,1046511.6047048419,1036365.3379831434
2017-08-14,1043828.9257243974,1036435.4514993792
2017-08-15,1046208.994439939,1036505.5697590247
2017-08-16,1048727.3938659143,1036575.6927624004
2017-08-17,1045724.2878161037,1036645.8205098275
2017-08-18,1048891.0093287695,1036715.9530016265
2017-08-21,1046623.5829894387,1036786.0902381192
2017-08-22,1045055.4518234427,1036856.232219626
2017-08-23,1046240.8225388922,1036926.3789464678
2017-08-24,1044308.4986550312,1036996.5304189661
2017-08-25,1045785.2061774518,1037066.6866374416
2017-08-28,1041652.9637636929,1037136.8476022158
2017-08-29,1041141.1130507514,1037207.0133136093
2017-08-30,1041204.6416770023,1037277.1837719434
2017-08-31,1043570.1218430444,1037347.3589775392
2017-09-01,1042009.2849517983,1037417.5389307183
2017-09-04,1043296.6018405366,1037487.7236318014
2017-09-05,1042944.9646622781,1037557.9130811099
2017-09-06,1040022.008798111,1037628.1072789648
2017-09-07,1037608.8706369925,1037698.3062256877
2017-09-08,1030978.0786116146,1037768.5099215996
2017-09-11,1033416.4146885505,1037838.7183670221
2017-09-12,1035760.0120303431,1037908.9315622762
2017-09-13,1036449.9799190352,1037979.1495076836
2017-09-14,1038757.1927236831,1038049.3722035651
2017-09-15,1036096.396567488,1038119.5996502426
2017-09-18,1036210.9851169875,1038189.8318480373
2017-09-19,1036973.8089165735,1038260.0687972708
2017-09-20,1036716.9104734584,1038330.3104982644
2017-09-21,1039628.6797162978,1038400.5569513395
2017-09-22,1039036.6788177127,1038470.8081568177
2017-09-25,1037279.1570180345,1038541.0641150206
2017-09-26,1040314.7552584122,1038611.3248262694
2017-09-27,1043991.3813107308,1038681.5902908861
2017-09-28,1046568.0480981003,1038751.8605091921
2017-09-29,1046063.4916599086,1038822.1354815088
2017-10-02,1045340.3674890354,1038892.415208158
2017-10-03,1048579.8580759908,1038962.6996894616
2017-10-04,1048468.6714546633,1039032.9889257408
2017-10-05,1048495.8155437695,1039103.2829173177
2017-10-06,1050555.2835167367,1039173.5816645136
2017-10-09,1050968.5031479571,1039243.8851676506
2017-10-10,1049742.7687121811,1039314.1934270503
2017-10-11,1044598.0114938666,1039384.5064430343
2017-10-12,1042876.9610679373,1039454.8242159247
2017-10-13,1042488.85251593,1039525.1467460433
2017-10-16,1040527.3515330699,1039595.474033712
2017-10-17,1042594.2006173908,1039665.806079252
2017-10-18,1044507.9567685702,1039736.1428829861
2017-10-19,1045919.1894914509,1039806.4844452357
2017-10-20,1046099.3396770946,1039876.8307663227
2017-10-23,1050497.0568903934,1039947.1818465693
2017-10-24,1049213.055093223,1040017.5376862974
2017-10-25,1051105.0152567571,1040087.8982858288
2017-10-26,1048458.8076500617,1040158.2636454859
2017-10-27,1054757.8123115376,1040228.6337655904
2017-10-30,1052963.9059747143,1040299.0086464643
2017-10-31,1049348.8623753581,1040369.3882884299
2017-11-01,1050760.0082616345,1040439.7726918096
2017-11-02,1049701.7816352914,1040510.1618569248
2017-11-03,1048716.4109198418,1040580.5557840981
2017-11-06,1052946.7071603118,1040650.9544736515
2017-11-07,1051269.3355462775,1040721.3579259076
2017-11-08,1052024.8650711135,1040791.7661411881
2017-11-09,1051425.5698977786,1040862.1791198154
2017-11-10,1049238.2937440914,1040932.5968621117
2017-11-13,1050809.7400016552,1041003.0193683994
2017-11-14,1051368.6714546634,1041073.446639001
2017-11-15,1049640.2399173803,1041143.8786742385
2017-11-17,1047474.8465879423,1041214.3154744339
2017-11-20,1048536.3883058535,1041284.7570399104
2017-11-21,1048359.5532117777,1041355.2033709901
2017-11-22,1046186.8656075901,1041425.6544679949
2017-11-23,1041479.1570180345,1041496.1103312479
2017-11-24,1040289.8071194032,1041566.5709610713
2017-11-27,1041460.589285353,1041637.0363577873
2017-11-28,1041072.5675699497,1041707.5065217187
2017-11-29,1040567.9242951538,1041777.9814531882
2017-11-30,1042190.4304759662,1041848.4611525178
2017-12-01,1043091.67182259,1041918.9456200306
2017-12-04,1043672.3992632434,1041989.4348560488
2017-12-05,1042060.589285353,1042059.9288608951
2017-12-06,1042393.745567534,1042130.4276348922
2017-12-07,1043637.3836443777,1042200.9311783629
2017-12-08,1045820.680614883,1042271.4394916295
2017-12-11,1046321.344706497,1042341.9525750148
2017-12-12,1045620.016523269,1042412.4704288418
2017-12-13,1046375.6328847094,1042482.9930534329
2017-12-14,1042942.6856442854,1042553.5204491112
2017-12-15,1042343.3904709505,1042624.0526161991
2017-12-18,1044490.302904311,1042694.5895550197
