Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2016-03-02,1257362.7811418094,1020764.46839962,1181112.7811418094
2016-03-03,1260476.1525441965,1020833.4791965618,1183976.1525441965
2016-03-04,1256431.027170829,1020902.494659115,1179681.027170829
2016-03-07,1243938.7445240805,1020971.5147875947,1166938.7445240805
2016-03-08,1240609.3595966294,1021040.5395823163,1163359.3595966294
2016-03-09,1260760.2755587064,1021109.5690435956,1183260.2755587064
2016-03-10,1250558.717341782,1021178.6031717478,1172808.717341782
2016-03-11,1255103.8427151495,1021247.6419670886,1177103.8427151495
2016-03-14,1248481.6694256763,1021316.6854299334,1170231.6694256763
2016-03-15,1255890.3027410046,1021385.7335605978,1177390.3027410046
2016-03-16,1263098.3594224048,1021454.7863593972,1184348.3594224048
2016-03-17,1249804.316398239,1021523.8438266476,1170804.316398239
2016-03-18,1234591.7558224571,1021592.9059626645,1155341.7558224571
2016-03-21,1244720.6670668188,1021661.9727677632,1165220.6670668188
2016-03-22,1242966.2661232757,1021731.0442422596,1163216.2661232757
2016-03-23,1222456.243162781,1021800.1203864695,1142456.243162781
2016-03-24,1230065.3165724636,1021869.2012007084,1149815.3165724636
2016-03-25,1229055.3293853372,1021938.2866852921,1148555.3293853372
2016-03-28,1235175.4387426125,1022007.3768405367,1154425.4387426125
2016-03-29,1222969.4795821453,1022076.4716667571,1141969.4795821453
2016-03-30,1211908.8826365902,1022145.5711642702,1130658.8826365902
2016-03-31,1202566.3631482967,1022214.6753333907,1121066.3631482967
2016-04-01,1189501.2969894116,1022283.7841744354,1107751.2969894116
2016-04-04,1192843.8500664402,1022352.8976877194,1110843.8500664402
2016-04-05,1201397.8455966807,1022422.015873559,1119147.8455966807
2016-04-06,1204224.8935127864,1022491.1387322701,1121724.8935127864
2016-04-07,1192734.8113378093,1022560.2662641684,1109984.8113378093
2016-04-08,1211310.811585765,1022629.39846957,1128310.811585765
2016-04-11,1196098.2510099832,1022698.5353487909,1112848.2510099832
2016-04-12,1187471.6085071801,1022767.676902147,1103971.6085071801
2016-04-13,1183712.738350307,1022836.823129954,1099962.738350307
2016-04-14,1190978.2099224948,1022905.9740325286,1106978.2099224948
2016-04-15,1192087.2486511257,1022975.1296101863,1107837.2486511257
2016-04-18,1215015.7208934494,1023044.2898632432,1130515.7208934494
2016-04-19,1198027.8045091922,1023113.4547920157,1113277.8045091922
2016-04-20,1184819.5766071663,1023182.6243968199,1099819.5766071663
2016-04-21,1187789.8545361997,1023251.7986779717,1102539.8545361997
2016-04-22,1201068.5289390166,1023320.9776357872,1115568.5289390166
2016-04-25,1204897.8455966807,1023390.1612705827,1119147.8455966807
2016-04-26,1202026.6874789388,1023459.3495826744,1116026.6874789388
2016-04-27,1204281.088422482,1023528.5425723788,1118031.088422482
2016-04-28,1198517.8855918527,1023597.7402400116,1112017.8855918527
2016-04-29,1196162.0960954598,1023666.9425858893,1109412.0960954598
2016-05-02,1212504.650264805,1023736.1496103284,1125504.650264805
2016-05-03,1205252.4833817685,1023805.3613136449,1118002.4833817685
2016-05-04,1224257.9688591463,1023874.5776961551,1136757.9688591463
2016-05-05,1236534.4427901916,1023943.7987581757,1148784.4427901916
2016-05-06,1231057.5634458438,1024013.0245000228,1143057.5634458438
