Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2023-11-06,1598653.494860917,1168547.1242618558,1022403.4948609171
2023-11-07,1596667.7016027297,1168626.1261969802,1020167.7016027297
2023-11-08,1599825.7635868788,1168705.133473186,1023075.7635868787
2023-11-09,1601171.05916451,1168784.1460908349,1024171.0591645102
2023-11-10,1604978.698779129,1168863.1640502876,1027728.698779129
2023-11-13,1604752.8160820077,1168942.1873519055,1027252.8160820077
2023-11-14,1604096.432878749,1169021.2159960498,1026346.4328787491
2023-11-15,1597155.5166645385,1169100.2499830814,1019155.5166645386
2023-11-16,1597964.5100011004,1169179.289313362,1019714.5100011004
2023-11-17,1595993.7540958778,1169258.3339872523,1017493.7540958778
2023-11-20,1593577.460331553,1169337.3840051137,1014827.4603315529
2023-11-21,1589325.5289771594,1169416.4393673078,1010325.5289771593
2023-11-22,1589696.4581090861,1169495.5000741957,1010446.4581090861
2023-11-23,1593224.6010554242,1169574.566126139,1013724.6010554241
2023-11-24,1592364.2681248276,1169653.6375234984,1012614.2681248276
2023-11-27,1592108.220677747,1169732.714266636,1012108.220677747
2023-11-28,1589623.8536269465,1169811.796355913,1009373.8536269465
2023-11-29,1585251.0831846558,1169890.8837916905,1004751.0831846556
2023-11-30,1587193.1005473058,1169969.9765743304,1006443.1005473057
2023-12-01,1590849.7363240677,1170049.0747041937,1009849.7363240677
2023-12-04,1587761.0837897514,1170128.1781816427,1006511.0837897515
2023-12-05,1591878.4748666403,1170207.287007038,1010378.4748666403
2023-12-06,1594213.1742429412,1170286.4011807418,1012463.1742429413
2023-12-07,1595392.2485416918,1170365.5207031155,1013392.2485416919
2023-12-08,1594086.2877079635,1170444.6455745208,1011836.2877079635
2023-12-11,1595650.5703658974,1170523.7757953191,1013150.5703658975
2023-12-12,1597804.0111103528,1170602.911365872,1015054.0111103527
2023-12-13,1596029.7312780004,1170682.0522865416,1013029.7312780003
2023-12-14,1589957.4698185918,1170761.1985576893,1006707.4698185918
2023-12-15,1586846.2162328134,1170840.350179677,1003346.2162328135
2023-12-18,1590782.2586338269,1170919.507152866,1007032.2586338267
2023-12-19,1590201.4223715113,1170998.6694776188,1006201.4223715112
2023-12-20,1587573.5251373216,1171077.837154297,1003323.5251373217
2023-12-21,1590399.2346077384,1171157.010183262,1005899.2346077384
2023-12-22,1586713.9503324335,1171236.1885648759,1001963.9503324336
2023-12-25,1583534.6234601797,1171315.3722995007,998534.6234601795
2023-12-26,1585778.7385425726,1171394.5613874982,1000528.7385425726
2023-12-27,1584744.7106786277,1171473.7558292302,999244.7106786276
2023-12-28,1582479.3307081298,1171552.9556250586,996729.3307081297
2023-12-29,1582903.115685508,1171632.1607753458,996903.1156855079
2024-01-01,1582578.9949519516,1171711.3712804534,996328.9949519516
2024-01-02,1583025.4710248217,1171790.5871407436,996525.4710248217
2024-01-03,1588593.0212005065,1171869.8083565787,1001843.0212005066
2024-01-04,1590391.5083797676,1171949.0349283202,1003391.5083797675
2024-01-05,1591396.8877451695,1172028.2668563304,1004146.8877451696
2024-01-08,1591820.5826785183,1172107.5041409717,1004320.5826785181
2024-01-09,1591345.4581071052,1172186.746782606,1003595.4581071052
2024-01-10,1593317.6402197145,1172265.9947815957,1005317.6402197146
2024-01-11,1593461.928528812,1172345.2481383025,1005211.928528812
2024-01-12,1592729.9083405803,1172424.506853089,1004229.9083405804
2024-01-15,1594800.328489625,1172503.7709263174,1006050.3284896249
2024-01-16,1596591.2519703885,1172583.04035835,1007591.2519703885
2024-01-17,1603246.5340252076,1172662.315149549,1013996.5340252076
2024-01-18,1604969.4742635253,1172741.5953002768,1015469.4742635253
2024-01-19,1604720.9004709122,1172820.8808108955,1014970.9004709122
2024-01-22,1602463.1742429412,1172900.171681768,1012463.1742429413
2024-01-23,1604110.567540316,1172979.467913256,1013860.5675403159
2024-01-24,1603303.0904551707,1173058.7695057224,1012803.0904551707
2024-01-25,1602661.7446048767,1173138.0764595296,1011911.7446048768
